shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_1305093,40.7186817660157,-74.040132175932,38,6715.61850645
p_1305093,40.7192905948899,-74.0417990795137,39,6871.84502916
p_1305093,40.71966,-74.04245,40,6940.45587482
p_1305093,40.73301,-74.06289,41,9216.35100768
p_1305094,40.74912,-73.98827,1,0
p_1305094,40.73735,-73.99684,2,1494.08786678
p_1305094,40.73295,-74.00707,3,2486.80159335
p_1305094,40.7317422594023,-74.0310407302919,4,4516.15646656
p_1305094,40.7316254699352,-74.0318498699669,5,4585.72843764
p_1305094,40.7314574364551,-74.0324205978352,6,4637.42608228
p_1305094,40.7311703249693,-74.0327521231708,7,4679.86285453
p_1305094,40.730685821528,-74.0328705250768,8,4734.58815103
p_1305094,40.72699,-74.03383,9,5152.93172539
p_1305094,40.7177198112537,-74.0355320545759,10,6192.36796941
p_1305094,40.7175362625768,-74.0357215788022,11,6218.28882976
p_1305094,40.7174709683811,-74.0361949603523,12,6258.93834414
p_1305094,40.7186817660157,-74.040132175932,13,6617.74927201
p_1305094,40.7192905948899,-74.0417990795137,14,6773.97579472
p_1305094,40.71966,-74.04245,15,6842.58664038
p_1305094,40.73301,-74.06289,16,9118.48177324
p_1305100,40.73301,-74.06289,1,0
p_1305100,40.7327586527011,-74.0633990714521,2,51.26743361
p_1305100,40.72658881793,-74.056463791513,3,952.75896152
p_1305100,40.7255151028918,-74.0562716631741,4,1073.09326266
p_1305100,40.7247472143148,-74.0558630952416,5,1165.08741049
p_1305100,40.7240660154229,-74.0552747574153,6,1255.60250268
p_1305100,40.7231123252623,-74.0540163681807,7,1405.66626113
p_1305100,40.7226540536953,-74.0530684905668,8,1500.5509766
p_1305100,40.721968757483,-74.050804744428,9,1706.3929853
p_1305100,40.7194983170973,-74.0426570180573,10,2447.43977937
p_1305100,40.71966,-74.04245,11,2472.50585604
p_1305100,40.7192912947193,-74.0421874885865,12,2519.07160667
p_1305100,40.7175202092649,-74.0363997489497,13,3046.15912305
p_1305100,40.7174794164882,-74.0360230023564,14,3078.31242465
p_1305100,40.7175915965779,-74.0357000767033,15,3108.30679658
p_1305100,40.7178057580481,-74.0355520691103,16,3135.17663997
p_1305100,40.72699,-74.03383,17,4165.39868324
p_1305100,40.7303279076443,-74.0328995427128,18,4544.31165163
